ncid,vote_method_2020
AA152013,Absentee
AA152415,Absentee
AA152632,Absentee
AA152758,Absentee
AA152816,Absentee
AA153510,Absentee
AA153524,Absentee
AA154117,Absentee
AA154133,Absentee
AA154218,Absentee
AA154231,In-Person
AA154354,In-Person
AA154391,Absentee
AA154436,Absentee
AA154668,Absentee
AA154803,Absentee
AA155065,Absentee
AA155372,Absentee
AA155418,Other
AA155524,Absentee
AA155984,Absentee
AA156028,Absentee
AA156082,Absentee
AA156165,Absentee
AA156541,Absentee
AA156660,Absentee
AA156777,Absentee
AA156863,Absentee
AA156887,In-Person
AA156957,Absentee
AA157106,Absentee
AA157167,Absentee
AA157750,In-Person
AA157958,Absentee
AA158104,Absentee
AA158125,Absentee
AA158222,Absentee
AA158765,Absentee
AA158841,Absentee
AA158931,Absentee
AA158939,Absentee
AA158990,Absentee
AA159008,Absentee
AA159098,Absentee
AA159200,Absentee
AA160123,Absentee
AA160488,Absentee
AA160689,Absentee
AA160741,Absentee
AA160868,Absentee
AA161225,Absentee
AA161314,Absentee
AA161452,Absentee
AA161538,Absentee
AA161724,Absentee
AA162014,Absentee
AA162116,In-Person
AA162165,Absentee
AA162228,Absentee
AA162389,Absentee
AA162514,Absentee
AA162530,Absentee
AA162555,Absentee
AA162655,Absentee
AA162698,Absentee
AA162877,In-Person
AA163174,Absentee
AA163257,Absentee
AA163682,Other
AA163683,Absentee
AA163742,Absentee
AA163756,Absentee
AA164123,Absentee
AA164333,Absentee
AA164378,Absentee
AA164415,Absentee
AA164532,Absentee
AA164725,Absentee
AA164815,Absentee
AA165056,Absentee
AA165263,Absentee
AA165489,Other
AA165647,Absentee
AA165692,Absentee
AA165802,Absentee
AA165925,Absentee
AA166019,In-Person
AA166181,Absentee
AA166282,Absentee
AA166369,Absentee
AA166772,Absentee
AA167006,Absentee
AA167033,Absentee
AA167060,Absentee
AA167227,Absentee
AA167244,Absentee
AA167519,Absentee
AA167523,Absentee
AA167583,Absentee
AA167675,Absentee
AA167730,Absentee
AA167792,Absentee
AA167854,Absentee
AA167876,Absentee
AA168068,In-Person
AA168289,Absentee
AA168314,Absentee
AA168318,Absentee
AA168635,Absentee
AA168640,Absentee
AA168700,Absentee
AA168723,Absentee
AA168730,Absentee
AA168791,Absentee
AA169125,Absentee
AA169135,Absentee
AA169237,Absentee
AA169295,Absentee
AA169404,Absentee
AA169463,Absentee
AA170034,Absentee
AA170081,Absentee
AA170202,Absentee
AA170253,Absentee
AA170392,Absentee
AA170669,Absentee
AA170695,Absentee
AA170723,Absentee
AA170846,In-Person
AA170907,Absentee
AA170998,Absentee
AA171152,Absentee
AA171191,Absentee
AA171320,Absentee
AA171392,Absentee
AA171578,Absentee
AA171968,Absentee
AA172262,Absentee
AA172278,Absentee
AA172587,Absentee
AA172613,Absentee
AA173074,Absentee
AA173112,Absentee
AA173192,Absentee
AA173680,Absentee
AA173723,Absentee
AA173751,Absentee
AA173886,Absentee
AA173922,Absentee
AA174030,Absentee
AA174203,Absentee
AA174234,Absentee
AA174244,Absentee
AA174395,Absentee
AA174695,Absentee
AA174801,Absentee
AA175267,In-Person
AA175334,Absentee
AA175634,Absentee
AA175705,Absentee
AA175799,Absentee
AA175974,Absentee
AA176251,Absentee
AA176255,Absentee
AA176346,Absentee
AA176371,Absentee
AA176517,Absentee
AA176522,Absentee
AA176580,Absentee
AA176654,Absentee
AA176673,Absentee
AA176716,Absentee
AA176765,Absentee
AA176985,Absentee
AA177021,Absentee
AA177287,Absentee
AA177678,Absentee
AA178048,In-Person
AA178408,Absentee
AA178423,Absentee
AA178466,Absentee
AA178479,Absentee
AA178724,In-Person
AA178931,In-Person
AA178958,Absentee
AA179172,In-Person
AA179341,Absentee
AA179488,Absentee
AA179585,Absentee
AA179668,Absentee
AA179842,Absentee
AA179950,Absentee
AA180081,In-Person
AA180309,Absentee
AA180484,Absentee
AA180708,Absentee
AA180782,Absentee
AA180848,Absentee
AA180872,Absentee
AA181186,Absentee
AA181337,Absentee
AA181401,Absentee
AA181544,Absentee
AA181657,Absentee
AA181662,Absentee
AA181746,Absentee
AA181849,Absentee
AA182043,Absentee
AA182270,Absentee
AA182332,Absentee
AA182526,Absentee
AA182848,In-Person
AA182851,In-Person
AA183012,Absentee
AA183137,Absentee
AA183232,Other
