ncid,vote_method_2020
BL258568,Absentee
BL25857,Absentee
BL258578,Absentee
BL25858,Absentee
BL258596,Absentee
BL258597,In-Person
BL25860,Absentee
BL258605,Absentee
BL258607,Absentee
BL258618,Absentee
BL258620,Absentee
BL258621,Absentee
BL258626,Absentee
BL258629,Absentee
BL258651,Absentee
BL258652,Absentee
BL258660,In-Person
BL258663,In-Person
BL258665,In-Person
BL258670,In-Person
BL258671,Absentee
BL258674,Absentee
BL258679,Absentee
BL258680,Absentee
BL25869,Absentee
BL258695,Absentee
BL258697,Absentee
BL258699,Absentee
BL258703,Absentee
BL258711,Absentee
BL258715,Absentee
BL25872,Absentee
BL258720,Absentee
BL258723,Absentee
BL258731,In-Person
BL258735,Absentee
BL258744,Absentee
BL258751,Absentee
BL258752,Absentee
BL258765,Absentee
BL258767,Absentee
BL258769,Absentee
BL25877,Absentee
BL25878,Absentee
BL258782,Absentee
BL258790,Absentee
BL258791,Absentee
BL258813,Absentee
BL258815,Absentee
BL258827,Other
BL258832,Absentee
BL258833,Absentee
BL258837,Absentee
BL258839,Absentee
BL25885,Absentee
BL258850,Absentee
BL258851,Absentee
BL258865,In-Person
BL25887,Absentee
BL258873,In-Person
BL258874,Absentee
BL258881,Absentee
BL25890,Absentee
BL258900,Absentee
BL258906,Absentee
BL258908,Absentee
BL258913,Absentee
BL258914,Absentee
BL258915,Absentee
BL258918,Absentee
BL25893,Absentee
BL258930,Absentee
BL258931,Absentee
BL25894,Absentee
BL258941,Absentee
BL258948,Absentee
BL258953,In-Person
BL258957,Absentee
BL25897,Absentee
BL258977,Absentee
BL258983,Absentee
BL258991,Absentee
BL259026,Absentee
BL259038,Absentee
BL25904,Absentee
BL259049,Absentee
BL259057,Absentee
BL259058,Absentee
BL259059,Absentee
BL259066,In-Person
BL25908,Absentee
BL259080,Absentee
BL259091,Absentee
BL259095,Absentee
BL259102,Absentee
BL259104,Absentee
BL259107,Absentee
BL259111,Absentee
BL259112,Absentee
BL259113,Absentee
BL259114,Absentee
BL259115,Absentee
BL259122,Absentee
BL259124,Absentee
BL259129,Absentee
BL259132,In-Person
BL259134,Absentee
BL259135,Absentee
BL259136,Absentee
BL259138,Absentee
BL259144,Absentee
BL259156,Absentee
BL259164,Absentee
BL25917,Absentee
BL259175,Absentee
BL259177,Absentee
BL259178,Absentee
BL259180,Absentee
BL259183,Absentee
BL259190,In-Person
BL259205,Absentee
BL259208,Absentee
BL259217,Absentee
BL25922,Absentee
BL25923,Absentee
BL259233,Absentee
BL259234,Absentee
BL259239,Absentee
BL259246,Absentee
BL259249,Absentee
BL259258,Absentee
BL259264,Absentee
BL259266,Absentee
BL25927,Absentee
BL259270,Absentee
BL259280,Absentee
BL259282,Absentee
BL25929,Absentee
BL259300,Absentee
BL259307,Absentee
BL259308,Absentee
BL259309,In-Person
BL259310,In-Person
BL259312,In-Person
BL259317,Absentee
BL259319,Absentee
BL259321,Absentee
BL259324,Absentee
BL259331,Absentee
BL259332,Absentee
BL259347,In-Person
BL259349,Absentee
BL25935,Absentee
BL259359,Absentee
BL259362,Absentee
BL259363,Absentee
BL259379,Absentee
BL259390,Absentee
BL259402,Absentee
BL259404,Absentee
BL259408,Absentee
BL259410,Absentee
BL259411,Absentee
BL259414,Absentee
BL259415,Absentee
BL259419,Absentee
BL259422,Absentee
BL259423,Absentee
BL259432,Absentee
BL259433,Absentee
BL259434,Absentee
BL259437,Absentee
BL259445,Absentee
BL259446,In-Person
BL259451,Absentee
BL259453,Absentee
BL259462,Absentee
BL259466,Absentee
BL259470,Absentee
BL259471,Absentee
BL259477,Absentee
BL259483,In-Person
BL259485,Absentee
BL259497,Absentee
BL259499,Absentee
BL259511,Absentee
BL259512,Absentee
BL259516,Absentee
BL259527,Absentee
BL259530,Absentee
BL259535,Absentee
BL259538,Absentee
BL259539,Absentee
BL259546,Absentee
BL259548,Absentee
BL259553,Absentee
BL259563,Absentee
BL259565,Absentee
BL259570,Absentee
BL259576,In-Person
BL259580,In-Person
BL25959,Absentee
BL259599,Absentee
BL2596,Absentee
BL259603,Absentee
BL25961,Absentee
BL259611,Absentee
BL259619,Absentee
BL259620,Absentee
BL259632,Absentee
BL259646,Absentee
BL259648,Absentee
BL259649,Absentee
BL259652,In-Person
BL259655,Absentee
BL259659,Absentee
BL259661,Absentee
BL259664,Absentee
BL259669,Absentee
BL259678,Absentee
BL259681,Absentee
BL259699,Absentee
BL2597,Absentee
BL25970,Absentee
BL259707,Absentee
BL259715,Absentee
BL259719,Absentee
BL259725,In-Person
BL259732,Absentee
BL259734,Absentee
BL259735,Absentee
BL259743,Absentee
BL259745,Absentee
BL259755,Absentee
BL259769,Absentee
BL259781,Absentee
BL259782,Absentee
BL259784,Absentee
BL259787,Absentee
BL259789,Absentee
BL259790,Absentee
BL259794,Absentee
BL2598,Absentee
BL259803,Absentee
BL25981,Absentee
BL259819,Absentee
BL259824,In-Person
BL259837,Absentee
BL259843,Absentee
BL259856,Absentee
BL259874,Absentee
BL259888,Absentee
BL259890,Absentee
BL259891,Absentee
BL259892,Absentee
BL259894,In-Person
BL259898,Absentee
BL259902,Absentee
BL259903,Absentee
BL259904,Absentee
BL259916,Absentee
BL259919,Absentee
BL259921,Absentee
BL259923,Absentee
BL259924,Absentee
BL259926,In-Person
BL259929,Absentee
BL259931,Absentee
BL259938,Absentee
BL259952,Absentee
BL259953,Absentee
BL259957,Absentee
BL259958,Absentee
BL259959,Absentee
BL259964,Absentee
BL259965,Absentee
BL259969,Absentee
BL259970,Absentee
BL259971,Absentee
BL259982,Absentee
BL259984,Absentee
BL259986,Absentee
BL260000,Absentee
BL260005,Absentee
BL260006,Absentee
BL260011,Absentee
BL26002,Absentee
BL260025,Absentee
BL26003,Absentee
BL260034,Absentee
BL260042,Absentee
BL260043,Absentee
BL26006,Absentee
BL260063,Absentee
BL26007,Absentee
BL260071,Absentee
BL260072,Absentee
BL26008,Absentee
BL260082,Absentee
BL26009,Absentee
BL260093,Absentee
BL2601,Absentee
BL260119,Absentee
BL260120,Absentee
BL260121,Absentee
BL260125,Absentee
BL260128,Absentee
BL260130,In-Person
BL260138,Absentee
BL260147,Absentee
BL260150,Absentee
BL260153,Absentee
BL260158,Absentee
BL260165,Absentee
BL260174,In-Person
BL260178,In-Person
BL260181,In-Person
BL260183,Absentee
BL260184,Absentee
BL26019,Absentee
BL260192,Absentee
BL260205,Absentee
BL260206,Absentee
BL260207,Absentee
BL260208,Absentee
BL260212,Absentee
BL260244,Absentee
BL260246,In-Person
BL260247,Absentee
BL26025,Absentee
BL260256,Absentee
BL260261,Absentee
BL260264,Absentee
BL260268,Absentee
BL260271,Absentee
BL260274,In-Person
BL260275,Absentee
BL260282,Absentee
BL260284,Absentee
BL260289,Absentee
BL260297,Absentee
BL260318,Absentee
BL26032,Absentee
BL260331,In-Person
BL260335,Absentee
BL260338,Absentee
BL260340,Absentee
BL260341,Absentee
BL260342,Absentee
BL26035,Absentee
BL260350,Absentee
BL26036,Absentee
BL260361,Absentee
BL260362,Absentee
BL260370,Absentee
BL260375,Absentee
BL260384,Absentee
BL260385,In-Person
BL260387,Absentee
BL260400,Absentee
BL260405,Absentee
BL260414,Absentee
BL260421,Absentee
BL260424,Absentee
BL260425,Absentee
BL260431,Absentee
BL260435,Absentee
BL260445,In-Person
BL260446,Absentee
BL260448,Absentee
BL260452,Absentee
BL260455,Absentee
BL260456,Absentee
BL260465,Absentee
BL260466,Absentee
BL260468,Absentee
BL260474,Absentee
BL260476,Absentee
BL26048,Absentee
BL260483,Absentee
BL260486,Absentee
BL260490,Absentee
BL260492,Absentee
BL260494,Absentee
BL260498,Absentee
BL260499,Absentee
BL260509,Absentee
BL26051,Absentee
BL260512,Absentee
BL260518,In-Person
BL260525,Absentee
BL26053,Absentee
BL260535,Absentee
BL260538,Absentee
BL260540,Absentee
BL260541,Absentee
BL260547,Absentee
BL260548,Absentee
BL260552,Absentee
BL26057,Absentee
BL260570,Absentee
BL260573,Absentee
BL260582,Absentee
BL260585,Absentee
BL26059,Absentee
BL260590,Absentee
BL260591,Absentee
BL260592,Absentee
BL260593,Absentee
BL260615,Absentee
BL260626,Absentee
BL260629,Absentee
BL260630,Absentee
BL260636,Absentee
BL260643,Absentee
BL260646,Absentee
BL260650,Absentee
BL260652,Absentee
BL260654,Absentee
BL26066,Absentee
BL260667,Absentee
BL260678,Absentee
BL260690,Absentee
BL260697,Absentee
BL260703,Absentee
BL260704,Absentee
BL260706,Absentee
BL26071,Absentee
BL260712,Absentee
BL260715,Absentee
BL26072,Absentee
BL260720,Absentee
BL260739,Absentee
BL260740,Absentee
BL260743,Absentee
BL260756,Absentee
BL260771,In-Person
BL260774,Absentee
BL260780,Absentee
BL260797,Absentee
BL260804,Absentee
BL260805,Absentee
BL260807,In-Person
BL260810,Absentee
BL260812,Absentee
BL260815,Absentee
BL260817,Absentee
BL26082,Absentee
BL260836,Absentee
BL260846,Absentee
BL260848,Absentee
BL26086,Absentee
BL260882,Absentee
BL260883,Absentee
BL260885,Absentee
BL260887,Absentee
BL260889,Absentee
BL260891,Absentee
BL2609,Absentee
BL26090,Absentee
BL260904,Absentee
BL260910,Absentee
BL260911,Absentee
BL260920,In-Person
BL260922,Absentee
BL260929,Absentee
BL260930,Absentee
BL260934,Absentee
BL260939,Absentee
BL260940,Absentee
BL260946,Absentee
BL260947,Absentee
BL260950,Absentee
BL260961,Absentee
BL26097,Absentee
BL260975,Absentee
BL260979,Absentee
BL260983,Absentee
BL260985,Absentee
BL260989,Absentee
BL26099,Absentee
BL260990,Absentee
BL260995,Absentee
BL260996,Absentee
BL260998,Absentee
BL261003,Other
BL261005,Absentee
BL261007,Absentee
BL26101,Absentee
BL261018,Absentee
BL261022,Absentee
BL261026,Absentee
BL261028,Absentee
BL261029,Absentee
BL261033,Absentee
BL261034,Absentee
BL261039,Absentee
BL261041,Absentee
BL261045,Absentee
BL261047,In-Person
BL261056,Absentee
BL261063,In-Person
BL261064,Absentee
BL261069,Absentee
BL261076,Absentee
BL261078,Absentee
BL261086,Absentee
BL261088,Other
BL261090,In-Person
BL261094,Absentee
BL261139,Absentee
BL261158,Absentee
BL261160,Absentee
BL261169,Absentee
BL261181,Absentee
BL261185,Absentee
BL261193,Absentee
BL2612,Absentee
BL26120,Absentee
BL261208,Absentee
BL261209,In-Person
BL26121,Absentee
BL261211,Absentee
BL261212,Absentee
BL261214,Absentee
BL261215,Absentee
BL261223,Absentee
BL261227,Absentee
BL261233,Absentee
BL261235,Absentee
BL261236,Absentee
BL261242,Absentee
BL261247,Absentee
BL261249,Absentee
BL261255,Absentee
BL26127,Absentee
BL261270,Absentee
BL261273,In-Person
BL261277,Absentee
BL26128,Absentee
BL261288,Absentee
BL261289,Absentee
BL2613,Absentee
BL261303,Absentee
BL261305,Absentee
BL26131,In-Person
BL26132,Absentee
BL261322,Absentee
BL261329,Absentee
BL261332,Absentee
BL261338,Absentee
BL261354,Absentee
BL261356,Absentee
BL261358,Absentee
BL261360,Absentee
BL261362,Absentee
BL261371,Absentee
BL261380,Absentee
BL261390,Absentee
BL261392,Absentee
BL261401,In-Person
BL261405,Absentee
BL261407,Absentee
BL261410,Absentee
BL261415,Absentee
BL261417,Absentee
BL261420,Absentee
BL261421,Absentee
BL261424,Absentee
BL261428,Absentee
BL261431,Absentee
BL261443,Absentee
BL26145,Absentee
BL261451,In-Person
BL26146,Absentee
BL261461,Absentee
BL261463,Absentee
BL261464,Absentee
BL261471,Absentee
BL261493,Absentee
BL261495,Absentee
BL261496,Absentee
BL261503,Absentee
BL261506,Absentee
BL261512,Absentee
BL261517,Absentee
BL261518,Absentee
BL26154,Absentee
BL261546,Absentee
BL261547,Absentee
BL261548,Absentee
BL261550,Absentee
BL261560,Absentee
BL261564,Absentee
BL261565,Absentee
BL261568,Absentee
BL261570,Absentee
BL261585,Absentee
BL261589,Absentee
BL26161,Absentee
BL261613,In-Person
BL261614,Absentee
BL261624,Absentee
BL261628,In-Person
BL261629,Absentee
BL26163,Absentee
BL261633,Absentee
BL261634,Absentee
BL261635,Absentee
BL261640,Absentee
BL26165,Absentee
BL261650,In-Person
BL261671,Absentee
BL261677,Absentee
BL261683,In-Person
BL261684,Absentee
BL261688,Absentee
BL261690,Absentee
BL26171,Absentee
BL261721,Absentee
BL261722,Absentee
BL261723,Absentee
BL261724,Absentee
BL261726,Absentee
BL261728,Absentee
BL261733,Absentee
BL261734,Absentee
BL261735,Absentee
BL261736,Absentee
BL261739,Absentee
BL261754,Absentee
BL261756,Absentee
BL261758,Absentee
BL26177,Absentee
BL261775,Absentee
BL261776,Absentee
BL26178,Absentee
BL261791,Absentee
BL261795,Absentee
BL261797,Absentee
BL261803,Absentee
BL261806,In-Person
BL261811,Absentee
BL261814,Absentee
BL261818,In-Person
BL261821,In-Person
BL261828,Absentee
BL261837,Absentee
BL26184,Absentee
BL261849,Absentee
BL261853,Absentee
BL261858,Absentee
BL261867,Absentee
BL261869,Absentee
BL261870,In-Person
BL261874,Absentee
BL261875,Absentee
BL261881,Absentee
BL26189,Other
BL261897,Absentee
BL261901,Absentee
BL261907,Absentee
BL261914,Absentee
BL261917,Absentee
BL26192,Absentee
BL261924,Absentee
BL261940,Absentee
BL261942,Absentee
BL261945,Absentee
BL26197,Absentee
BL261970,Absentee
BL261973,Absentee
BL261977,Absentee
BL261978,Absentee
BL261981,Absentee
BL261988,Absentee
BL261990,Absentee
BL262008,Absentee
BL262011,Absentee
BL262014,Absentee
BL262020,Absentee
BL262024,Absentee
BL262029,Absentee
BL262038,Absentee
BL262039,In-Person
BL26204,Absentee
BL262044,Absentee
BL262046,Absentee
BL262050,Absentee
BL262055,Absentee
BL262059,Absentee
BL262065,Absentee
BL262072,Absentee
BL262076,Absentee
BL262088,Absentee
BL262094,Absentee
BL262101,Absentee
BL262111,Absentee
BL262115,Absentee
BL262116,In-Person
BL262121,Absentee
BL262128,Absentee
BL262133,Absentee
BL262137,Absentee
BL262138,Absentee
BL26214,Absentee
BL262144,Absentee
BL262146,Absentee
BL262151,Absentee
BL262159,Absentee
BL262161,Absentee
BL262166,Absentee
BL26217,Absentee
BL262175,Absentee
BL262177,Absentee
BL262181,In-Person
BL262182,Absentee
BL262187,Absentee
BL262191,Absentee
BL262194,Absentee
BL262195,Absentee
BL262196,Absentee
BL262200,Absentee
BL262202,Absentee
BL262203,Absentee
BL262210,In-Person
BL262226,Absentee
BL262230,Absentee
BL262232,Absentee
BL262238,Absentee
BL262241,In-Person
BL262245,Absentee
BL262263,Absentee
BL262264,Absentee
BL262266,Absentee
BL262269,Absentee
BL26227,Absentee
BL262270,Absentee
BL262274,Absentee
BL262276,Absentee
BL262282,Absentee
BL262284,Absentee
BL262288,Absentee
BL262290,Absentee
BL262292,Absentee
BL262294,Absentee
BL262301,Absentee
BL262304,Absentee
BL262309,Absentee
BL262316,Absentee
BL262318,Absentee
BL262324,Absentee
BL262325,Absentee
BL262335,Absentee
BL262337,Absentee
BL262340,Absentee
BL262348,Absentee
BL262349,Absentee
BL262358,In-Person
BL262361,Absentee
BL262363,Absentee
BL262369,Absentee
BL262372,Absentee
BL262386,In-Person
BL262389,Absentee
BL262394,Absentee
BL262400,In-Person
BL262403,Absentee
BL262406,Absentee
BL262414,Absentee
BL262427,Absentee
BL262428,Absentee
BL262437,Absentee
BL262438,Absentee
BL262447,Absentee
BL262450,Absentee
BL262455,Absentee
BL26246,Absentee
BL262462,Absentee
BL262468,Absentee
BL262470,Absentee
BL262473,Absentee
BL262482,Absentee
BL262488,Absentee
BL262489,Absentee
BL262491,Absentee
BL262492,Absentee
BL262509,In-Person
BL262532,Absentee
BL26254,Absentee
BL262540,Absentee
BL262552,Absentee
BL262554,In-Person
BL262569,Absentee
BL262577,Absentee
BL262587,Absentee
BL262589,Absentee
BL262590,Absentee
BL262592,Absentee
BL262595,Absentee
BL262603,Absentee
BL262613,Absentee
BL262614,Absentee
BL262617,Absentee
BL262627,Absentee
BL262629,Absentee
BL26264,Absentee
BL262646,Absentee
BL262649,Absentee
BL262655,Absentee
BL262657,Absentee
BL26266,Absentee
BL262667,Absentee
BL26267,Absentee
BL262670,Absentee
BL262681,In-Person
BL262692,Absentee
BL262693,Absentee
BL262700,In-Person
BL262708,In-Person
BL262712,Absentee
BL262716,Absentee
BL262724,Absentee
BL262727,Absentee
BL262730,Absentee
BL262731,Absentee
BL262736,Absentee
BL262738,Absentee
BL262739,Absentee
BL26274,Absentee
BL262753,Absentee
BL262754,Absentee
BL262765,Absentee
BL262768,Absentee
BL262773,Absentee
BL262787,Absentee
BL262789,Absentee
BL262802,Absentee
BL262804,Absentee
BL26281,Absentee
BL262810,Absentee
BL262816,Absentee
BL262822,Absentee
BL262824,In-Person
BL26283,Absentee
BL262830,Absentee
BL262831,In-Person
BL262834,Absentee
BL262837,Absentee
BL262840,Absentee
BL262844,Absentee
BL26285,Absentee
BL262858,Absentee
BL262879,Absentee
BL262885,Absentee
BL262890,Absentee
BL262894,In-Person
BL262898,Absentee
BL262902,Absentee
BL262905,Absentee
BL262913,Absentee
BL262917,Absentee
BL262926,Absentee
BL262937,Absentee
BL26294,Absentee
BL262944,Absentee
BL262954,Absentee
BL262975,Absentee
BL262981,In-Person
BL262986,Absentee
BL262987,Absentee
BL262990,Absentee
BL262992,Absentee
BL26300,Absentee
BL263002,Absentee
BL263011,Absentee
BL263015,Absentee
BL263024,Absentee
BL263026,Absentee
BL263032,Absentee
BL263041,Absentee
BL263044,Absentee
BL263046,Absentee
BL263055,Absentee
BL263065,Absentee
BL263072,Absentee
BL263073,Absentee
BL263075,Absentee
BL263079,Absentee
BL263095,In-Person
BL2631,Absentee
BL26310,Absentee
BL263105,Absentee
BL263112,Absentee
BL263117,Absentee
BL263128,In-Person
BL263132,Absentee
BL263135,Absentee
BL263138,Absentee
BL263154,Absentee
BL263165,Absentee
BL263171,In-Person
BL263183,Absentee
BL263187,Absentee
BL263202,Absentee
BL263205,Absentee
BL263215,Absentee
BL263216,Absentee
BL263223,Absentee
BL263231,Absentee
BL263232,Absentee
BL263234,Absentee
BL263241,Absentee
BL263251,In-Person
BL263259,Absentee
BL263268,Absentee
BL263270,Absentee
BL263275,Absentee
BL263279,Absentee
BL263280,Absentee
BL263281,Absentee
BL263286,Absentee
BL263289,Absentee
BL263295,Absentee
BL263300,Absentee
BL263301,Absentee
BL263306,Absentee
BL263317,Absentee
BL263319,In-Person
BL263321,Absentee
BL263324,Absentee
BL263325,Absentee
BL263329,Absentee
BL263330,Absentee
BL263341,Absentee
BL263343,Absentee
BL26335,Absentee
BL263359,Absentee
BL263360,Absentee
BL263373,Absentee
BL263374,In-Person
BL263378,Absentee
BL26338,Absentee
BL263380,Absentee
BL263390,Absentee
BL263392,Absentee
BL263397,Absentee
BL263402,In-Person
BL263403,Absentee
BL263404,Absentee
BL263410,In-Person
BL263413,Absentee
BL263414,Absentee
BL263417,Absentee
BL263418,Absentee
BL263426,In-Person
BL263432,Absentee
BL263433,Absentee
BL263436,Absentee
BL263437,Absentee
BL263438,Absentee
BL263441,Absentee
BL263454,Absentee
BL263469,Absentee
BL263470,Absentee
BL263476,Absentee
BL263480,In-Person
BL263483,In-Person
BL263488,Absentee
BL26349,Absentee
BL263491,Absentee
BL263501,Absentee
BL263503,Absentee
BL263507,Absentee
BL263521,Absentee
BL263526,Absentee
BL263527,Absentee
BL26353,Absentee
BL263540,In-Person
BL263544,Absentee
BL263546,In-Person
BL263550,In-Person
BL263552,Absentee
BL263557,Absentee
BL263563,Absentee
BL263568,Absentee
BL263572,Absentee
BL263574,Absentee
BL263584,Absentee
BL263585,Absentee
BL263586,Absentee
BL263587,Absentee
BL263588,Absentee
BL263605,Absentee
BL263611,Absentee
BL263614,Absentee
BL263623,Absentee
BL263624,Absentee
BL26363,Absentee
BL263631,Absentee
BL263638,In-Person
BL263639,Absentee
BL263642,Absentee
BL263643,Absentee
BL263645,Absentee
BL263646,Absentee
BL263647,Absentee
BL263661,Absentee
BL263663,Absentee
BL263665,Absentee
BL263673,Absentee
BL263680,Absentee
BL263682,Absentee
BL263684,Absentee
BL263692,Absentee
BL263699,Absentee
BL263700,Absentee
BL263702,Absentee
BL263707,Absentee
BL263718,Absentee
BL26372,Absentee
BL263724,Absentee
BL263726,Absentee
BL263729,Absentee
BL263735,Absentee
BL263740,Absentee
BL263742,Absentee
BL263744,In-Person
BL263751,Absentee
BL263754,Absentee
BL263766,Absentee
BL263783,Absentee
BL263785,In-Person
BL263786,Absentee
BL263788,Absentee
BL26379,Absentee
BL263790,Absentee
BL263797,Absentee
BL263801,Absentee
BL263802,Absentee
BL263811,In-Person
BL263812,Absentee
BL263817,Absentee
BL263830,Absentee
BL263834,Absentee
BL263836,In-Person
BL263856,Absentee
BL263864,Absentee
BL263873,Absentee
BL263877,Absentee
BL26388,Absentee
BL263882,Absentee
BL263883,Absentee
BL263884,Absentee
BL26389,In-Person
BL263897,Absentee
BL26390,Absentee
BL263901,Absentee
BL263914,Absentee
BL263916,Absentee
BL263918,Absentee
BL263919,In-Person
BL263922,In-Person
BL263932,Absentee
BL263933,In-Person
BL263947,Absentee
BL26395,Absentee
BL263951,Absentee
BL263953,Absentee
BL263967,Absentee
BL26397,Absentee
BL263981,Absentee
BL263982,Absentee
BL263992,In-Person
BL263993,Absentee
BL264006,Absentee
BL264016,Absentee
BL264024,Absentee
BL264029,Absentee
BL264033,Absentee
BL264036,Absentee
BL264037,Absentee
BL26404,Absentee
BL264055,Absentee
BL264061,Absentee
BL264062,Absentee
BL26407,Absentee
BL264071,Absentee
BL264073,Absentee
BL264084,Absentee
BL264091,Absentee
BL2641,Absentee
BL264109,Absentee
BL264110,Absentee
BL264114,Absentee
BL264116,Absentee
BL264118,In-Person
BL264131,Absentee
BL264138,Absentee
BL26414,Absentee
BL264141,Absentee
BL264145,Absentee
BL264153,Absentee
BL264157,Absentee
BL264161,Absentee
BL264162,Absentee
BL264163,Absentee
BL264166,Absentee
BL264173,Absentee
BL264176,Absentee
BL264178,Absentee
BL264179,Absentee
BL26418,Absentee
BL264185,Absentee
BL264196,Absentee
BL264199,Absentee
BL264200,Absentee
BL264201,Absentee
BL264215,Absentee
BL264224,Absentee
BL264225,Absentee
BL264242,Absentee
BL264246,Absentee
BL264248,Absentee
BL264255,Absentee
BL264272,Absentee
BL264274,Absentee
BL264275,Absentee
BL264281,Absentee
BL264289,Absentee
BL26429,Absentee
BL264295,Absentee
BL264300,Absentee
BL264301,Absentee
BL264314,Absentee
BL264333,Absentee
BL264338,Absentee
BL264340,In-Person
BL264357,In-Person
BL264360,Absentee
BL264366,Absentee
BL264373,Absentee
BL264378,Absentee
BL264379,Absentee
BL264383,Absentee
BL264386,Absentee
BL264390,Absentee
BL264394,Absentee
BL264396,Absentee
BL264398,Absentee
BL264399,Absentee
BL264400,Absentee
BL264401,Absentee
BL264405,Absentee
BL264410,Absentee
BL26442,Absentee
BL264421,Absentee
BL264424,Absentee
BL264432,Absentee
BL264440,Absentee
BL264441,Absentee
BL264443,Absentee
BL264444,Absentee
BL264446,Absentee
BL264452,Absentee
BL264461,In-Person
BL264464,Absentee
BL264466,Absentee
BL264467,Absentee
BL264468,Absentee
BL264475,Absentee
BL264486,Absentee
BL264495,Absentee
BL264497,Absentee
BL264509,Absentee
BL264522,In-Person
BL264526,Absentee
BL264528,Absentee
BL264529,Absentee
BL26453,Absentee
BL264537,Absentee
BL26455,Absentee
BL264555,Absentee
BL264556,Absentee
BL264558,Absentee
BL264561,Absentee
BL26457,Absentee
BL264575,Absentee
BL264576,Absentee
BL26459,In-Person
BL264593,Absentee
BL26460,In-Person
BL264600,Absentee
BL264604,Absentee
BL264608,In-Person
BL26462,Absentee
BL264623,Absentee
BL264627,Absentee
BL264634,Absentee
BL264635,Absentee
BL264637,Absentee
BL264639,Absentee
BL264644,Absentee
BL264645,Absentee
BL264653,Absentee
BL264665,Absentee
BL264668,Absentee
BL264676,Absentee
BL264678,Absentee
BL264683,Absentee
BL264687,Absentee
BL264688,Absentee
BL264694,Absentee
BL264697,Absentee
BL264698,Absentee
BL264701,Absentee
BL264704,Absentee
BL264713,Absentee
BL264717,In-Person
BL264719,Absentee
BL26472,Absentee
BL264720,Absentee
BL264723,Absentee
BL264728,Absentee
BL264744,In-Person
BL264747,Absentee
BL264748,Absentee
BL264749,Absentee
BL264750,Absentee
BL264753,Absentee
BL264754,Absentee
BL264755,Absentee
BL264760,Absentee
BL264776,Absentee
BL264784,Absentee
BL264785,Absentee
BL264787,Absentee
BL264790,Absentee
BL264791,Absentee
BL264792,Absentee
BL2648,Absentee
BL26480,Absentee
BL264804,Absentee
BL26481,Absentee
BL264810,Absentee
BL264811,Absentee
BL264813,Absentee
BL264817,Absentee
BL264830,Absentee
BL264833,Absentee
BL264838,Absentee
BL264846,Absentee
BL264850,Absentee
BL264868,Absentee
BL264875,Absentee
BL264879,Absentee
BL264882,Absentee
BL264885,Absentee
BL264887,Absentee
BL264889,Absentee
BL264892,Absentee
BL2649,Absentee
BL264900,Absentee
BL264902,Absentee
BL264907,Absentee
BL264911,Absentee
BL264912,Absentee
BL264917,Absentee
BL26492,Absentee
BL264930,Absentee
BL264932,Absentee
BL264935,Absentee
BL26496,Absentee
BL264969,Absentee
BL264973,Absentee
BL264978,Absentee
BL264980,Absentee
BL264981,Absentee
BL264984,In-Person
BL264990,Absentee
BL264994,Absentee
BL2650,Absentee
BL26503,Absentee
BL26504,Absentee
BL265041,Absentee
BL265042,Absentee
BL265044,Absentee
BL265045,Absentee
BL265049,Absentee
BL265053,Absentee
BL265056,Absentee
BL26506,Absentee
BL265060,Absentee
BL265062,Absentee
BL265064,Absentee
BL265067,Absentee
BL265073,Absentee
BL265077,Absentee
BL265079,Absentee
BL26508,Absentee
BL265083,Absentee
BL265085,Absentee
BL26509,Absentee
BL265093,Absentee
BL265095,Absentee
BL26510,Absentee
BL265104,Absentee
BL265107,Absentee
BL265109,Absentee
BL265114,Absentee
BL265119,Absentee
BL265120,In-Person
BL265127,Absentee
BL265132,Absentee
BL265134,Absentee
BL265135,Absentee
BL265136,Absentee
BL265138,Absentee
BL265145,Absentee
BL265147,Absentee
BL265152,Absentee
BL265153,Absentee
BL265154,In-Person
BL265155,Absentee
BL265165,Absentee
BL265167,Absentee
BL265177,Absentee
BL265180,Absentee
BL265186,Absentee
BL265187,Absentee
BL265190,Absentee
BL2652,Absentee
BL265209,Absentee
BL265220,Absentee
BL265223,Absentee
BL265235,Absentee
BL265237,Absentee
BL265240,Absentee
BL265242,Absentee
BL265248,Absentee
BL265249,Absentee
BL265250,Absentee
BL265252,Absentee
BL265259,Absentee
BL265264,Absentee
BL265265,Other
BL265268,Absentee
BL265270,Absentee
BL265271,Absentee
BL265276,Absentee
BL265279,Absentee
BL265282,Absentee
BL265291,Absentee
BL265300,Absentee
BL265308,Absentee
BL265312,Absentee
BL265314,Absentee
BL265315,Absentee
BL265317,Absentee
BL265318,Absentee
BL26533,Absentee
BL265333,Absentee
BL265340,Absentee
BL265346,Absentee
BL265350,Absentee
BL265358,Absentee
BL265365,Absentee
BL265366,Absentee
BL265373,Absentee
BL265374,Absentee
BL265384,Absentee
BL265389,Absentee
BL265396,Absentee
BL265397,Absentee
BL265401,Absentee
BL265403,Absentee
BL265405,In-Person
BL265406,Absentee
BL265407,Absentee
BL265414,Absentee
BL265415,In-Person
BL265424,Absentee
BL265429,Absentee
BL265430,Absentee
BL265442,Absentee
BL265443,Absentee
BL265446,Absentee
BL265449,Absentee
BL26545,Absentee
BL265451,Absentee
BL265453,Other
BL265454,Absentee
BL265455,Absentee
BL265456,Absentee
BL265460,Absentee
BL265462,Absentee
BL265464,Absentee
BL265468,Absentee
BL265470,In-Person
BL265474,Absentee
